,precision,recall,f1-score,support
0.0,0.7282608695652174,0.9436619718309859,0.8220858895705522,142.0
1.0,0.4625,0.4805194805194805,0.4713375796178344,77.0
2.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,2.0
4.0,0.18181818181818182,0.11428571428571428,0.14035087719298245,35.0
5.0,0.42105263157894735,0.4,0.41025641025641024,20.0
6.0,0.0,0.0,0.0,5.0
7.0,0.7,0.40384615384615385,0.5121951219512195,52.0
accuracy,0.608955223880597,0.608955223880597,0.608955223880597,0.608955223880597
macro avg,0.31170396037029335,0.29278916506029184,0.29452823482362483,335.0
weighted avg,0.5677917387267947,0.608955223880597,0.5754649110386199,335.0
