,precision,recall,f1-score,support
0.0,0.7359550561797753,0.9225352112676056,0.8187500000000001,142.0
1.0,0.5402298850574713,0.6103896103896104,0.573170731707317,77.0
2.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,2.0
4.0,0.2631578947368421,0.14285714285714285,0.18518518518518517,35.0
5.0,0.16666666666666666,0.05,0.07692307692307691,20.0
6.0,0.0,0.0,0.0,5.0
7.0,0.6363636363636364,0.5384615384615384,0.5833333333333334,52.0
accuracy,0.6328358208955224,0.6328358208955224,0.6328358208955224,0.6328358208955224
macro avg,0.292796642375549,0.2830304378719872,0.27967029089361406,335.0
weighted avg,0.5723525010954784,0.6328358208955224,0.5932833513275815,335.0
