,precision,recall,f1-score,support
0.0,0.810126582278481,0.9014084507042254,0.8533333333333334,142.0
1.0,0.5529411764705883,0.6103896103896104,0.580246913580247,77.0
2.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,2.0
4.0,0.3793103448275862,0.3142857142857143,0.34375,35.0
5.0,0.4444444444444444,0.2,0.2758620689655173,20.0
6.0,0.0,0.0,0.0,5.0
7.0,0.6111111111111112,0.6346153846153846,0.6226415094339622,52.0
accuracy,0.6656716417910448,0.6656716417910448,0.6656716417910448,0.6656716417910448
macro avg,0.3497417073915264,0.33258739499936685,0.3344792281641325,335.0
weighted avg,0.6315133552460053,0.6656716417910448,0.6441140165638469,335.0
