,precision,recall,f1-score,support
0.0,0.8671328671328671,0.8732394366197183,0.8701754385964913,142.0
1.0,0.5301204819277109,0.5714285714285714,0.5499999999999999,77.0
2.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,2.0
4.0,0.2564102564102564,0.2857142857142857,0.27027027027027023,35.0
5.0,0.4666666666666667,0.35,0.4,20.0
6.0,0.0,0.0,0.0,5.0
7.0,0.6727272727272727,0.7115384615384616,0.6915887850467289,52.0
accuracy,0.6626865671641791,0.6626865671641791,0.6626865671641791,0.6626865671641791
macro avg,0.34913219310809673,0.3489900944126296,0.3477543117391863,335.0
weighted avg,0.6484825514352578,0.6626865671641791,0.6547372792913168,335.0
