,precision,recall,f1-score,support
0.0,0.7142857142857143,0.8802816901408451,0.7886435331230285,142.0
1.0,0.5396825396825397,0.44155844155844154,0.48571428571428565,77.0
2.0,0.0,0.0,0.0,2.0
3.0,0.0,0.0,0.0,2.0
4.0,0.29411764705882354,0.14285714285714285,0.1923076923076923,35.0
5.0,0.14285714285714285,0.05,0.07407407407407408,20.0
6.0,0.5555555555555556,1.0,0.7142857142857143,5.0
7.0,0.421875,0.5192307692307693,0.46551724137931033,52.0
accuracy,0.5880597014925373,0.5880597014925373,0.5880597014925373,0.5880597014925373
macro avg,0.333546699929972,0.37924100547339984,0.34006781761051313,335.0
weighted avg,0.5398527321376312,0.5880597014925373,0.5533670374294731,335.0
