,precision,recall,f1-score,support
0.0,0.9662921348314607,0.9662921348314607,0.9662921348314607,178.0
1.0,0.527536231884058,1.0,0.6907020872865275,182.0
2.0,0.96,0.8135593220338984,0.8807339449541285,177.0
3.0,0.7476190476190476,0.8579234972677595,0.7989821882951655,183.0
4.0,0.9655172413793104,0.9281767955801105,0.9464788732394367,181.0
5.0,0.9022988505747126,0.8626373626373627,0.8820224719101124,182.0
6.0,0.9560439560439561,0.9613259668508287,0.9586776859504131,181.0
7.0,0.9322033898305084,0.9217877094972067,0.9269662921348314,179.0
8.0,0.9130434782608695,0.3620689655172414,0.5185185185185185,174.0
9.0,0.8913043478260869,0.6833333333333333,0.7735849056603774,180.0
accuracy,0.8375069560378409,0.8375069560378409,0.8375069560378409,0.8375069560378409
macro avg,0.8761858678250011,0.83571050875492,0.8342959102780971,1797.0
weighted avg,0.8753119655320764,0.8375069560378409,0.8350402488788381,1797.0
