,precision,recall,f1-score,support
0.0,0.9668508287292817,0.9831460674157303,0.9749303621169917,178.0
1.0,0.9281767955801105,0.9230769230769231,0.9256198347107437,182.0
2.0,0.9597701149425287,0.943502824858757,0.9515669515669515,177.0
3.0,0.9457831325301205,0.8579234972677595,0.8997134670487105,183.0
4.0,0.9351351351351351,0.9558011049723757,0.9453551912568307,181.0
5.0,0.9180327868852459,0.9230769230769231,0.9205479452054796,182.0
6.0,0.9611111111111111,0.9558011049723757,0.9584487534626039,181.0
7.0,0.9485714285714286,0.9273743016759777,0.9378531073446328,179.0
8.0,0.8131868131868132,0.8505747126436781,0.8314606741573034,174.0
9.0,0.8,0.8444444444444444,0.8216216216216217,180.0
accuracy,0.9165275459098498,0.9165275459098498,0.9165275459098498,0.9165275459098498
macro avg,0.9176618146671777,0.9164721904404944,0.9167117908491871,1797.0
weighted avg,0.9179613672229875,0.9165275459098498,0.916886658154152,1797.0
