,precision,recall,f1-score,support
0.0,0.9664804469273743,0.9719101123595506,0.9691876750700281,178.0
1.0,0.8770053475935828,0.9010989010989011,0.8888888888888888,182.0
2.0,0.9195402298850575,0.903954802259887,0.9116809116809117,177.0
3.0,0.9022988505747126,0.8579234972677595,0.8795518207282913,183.0
4.0,0.9385474860335196,0.9281767955801105,0.9333333333333332,181.0
5.0,0.9277777777777778,0.9175824175824175,0.9226519337016573,182.0
6.0,0.93048128342246,0.9613259668508287,0.9456521739130435,181.0
7.0,0.9388888888888889,0.9441340782122905,0.9415041782729804,179.0
8.0,0.8727272727272727,0.8275862068965517,0.8495575221238938,174.0
9.0,0.796875,0.85,0.8225806451612903,180.0
accuracy,0.9065108514190318,0.9065108514190318,0.9065108514190318,0.9065108514190318
macro avg,0.9070622583830646,0.9063692778108298,0.9064589082874319,1797.0
weighted avg,0.9070844310254181,0.9065108514190318,0.9065411742547526,1797.0
