,precision,recall,f1-score,support
0.0,0.9757575757575757,0.9044943820224719,0.9387755102040817,178.0
1.0,0.7875,0.6923076923076923,0.7368421052631579,182.0
2.0,0.785234899328859,0.6610169491525424,0.7177914110429449,177.0
3.0,0.7621951219512195,0.6830601092896175,0.7204610951008645,183.0
4.0,0.8763440860215054,0.9005524861878453,0.888283378746594,181.0
5.0,0.8370786516853933,0.8186813186813187,0.8277777777777777,182.0
6.0,0.9651162790697675,0.9171270718232044,0.9405099150141644,181.0
7.0,0.8247422680412371,0.8938547486033519,0.8579088471849865,179.0
8.0,0.5403225806451613,0.7701149425287356,0.6350710900473933,174.0
9.0,0.6408839779005525,0.6444444444444445,0.6426592797783933,180.0
accuracy,0.7885364496382861,0.7885364496382861,0.7885364496382861,0.7885364496382861
macro avg,0.7995175440401271,0.7885654145041225,0.7906080410160359,1797.0
weighted avg,0.8002976542599503,0.7885364496382861,0.7910487643478038,1797.0
