,precision,recall,f1-score,support
0.0,0.9388888888888889,0.949438202247191,0.9441340782122906,178.0
1.0,0.7258064516129032,0.7417582417582418,0.733695652173913,182.0
2.0,0.8024691358024691,0.7344632768361582,0.7669616519174042,177.0
3.0,0.7262569832402235,0.7103825136612022,0.718232044198895,183.0
4.0,0.838150289017341,0.8011049723756906,0.8192090395480225,181.0
5.0,0.8241758241758241,0.8241758241758241,0.8241758241758241,182.0
6.0,0.8716577540106952,0.9005524861878453,0.8858695652173914,181.0
7.0,0.8734939759036144,0.8100558659217877,0.8405797101449276,179.0
8.0,0.6117021276595744,0.6609195402298851,0.6353591160220995,174.0
9.0,0.6958762886597938,0.75,0.7219251336898395,180.0
accuracy,0.7885364496382861,0.7885364496382861,0.7885364496382861,0.7885364496382861
macro avg,0.790847771897133,0.7882850923393827,0.7890141815300608,1797.0
weighted avg,0.7911439293445292,0.7885364496382861,0.7892927973988405,1797.0
