,precision,recall,f1-score,support
0.0,0.7457627118644068,0.7096774193548387,0.7272727272727273,62.0
1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,63.0
2.0,0.6212121212121212,0.6507936507936508,0.6356589147286822,63.0
3.0,0.631578947368421,0.7619047619047619,0.6906474820143885,63.0
4.0,0.6056338028169014,0.6825396825396826,0.6417910447761194,63.0
5.0,0.6730769230769231,0.5555555555555556,0.6086956521739131,63.0
6.0,0.620253164556962,0.7777777777777778,0.6901408450704225,63.0
7.0,0.6290322580645161,0.6190476190476191,0.6240000000000001,63.0
8.0,0.5866666666666667,0.6984126984126984,0.6376811594202899,63.0
9.0,0.7068965517241379,0.6507936507936508,0.6776859504132232,63.0
10.0,0.7575757575757576,0.7936507936507936,0.7751937984496123,63.0
11.0,0.9,0.7142857142857143,0.7964601769911505,63.0
12.0,0.9074074074074074,0.7777777777777778,0.8376068376068377,63.0
13.0,0.8148148148148148,0.6984126984126984,0.7521367521367521,63.0
14.0,0.7288135593220338,0.6825396825396826,0.7049180327868851,63.0
accuracy,0.6959745762711864,0.6959745762711864,0.6959745762711864,0.6959745762711864
macro avg,0.7063594235425158,0.6959890766342379,0.6977704027005115,944.0
weighted avg,0.7063176827709883,0.6959745762711864,0.6977391502380409,944.0
