,precision,recall,f1-score,support
0.0,0.9312977099236641,0.7721518987341772,0.8442906574394463,158.0
1.0,0.9343065693430657,0.8258064516129032,0.8767123287671232,155.0
2.0,0.9659863945578231,0.8987341772151899,0.9311475409836065,158.0
3.0,0.9337349397590361,0.9627329192546584,0.9480122324159022,161.0
4.0,0.8837209302325582,0.9559748427672956,0.9184290030211482,159.0
5.0,0.9673202614379085,0.9192546583850931,0.9426751592356687,161.0
6.0,0.8994082840236687,0.9559748427672956,0.9268292682926831,159.0
7.0,0.9254658385093167,0.9371069182389937,0.93125,159.0
8.0,0.8177083333333334,0.9691358024691358,0.8870056497175142,162.0
9.0,0.9634146341463414,0.9875,0.9753086419753086,160.0
accuracy,0.9189698492462312,0.9189698492462312,0.9189698492462312,0.9189698492462312
macro avg,0.9222363895266715,0.9184372511444744,0.9181660481848402,1592.0
weighted avg,0.9220728636947828,0.9189698492462312,0.9183539129867054,1592.0
