,precision,recall,f1-score,support
0.0,0.8838709677419355,0.8670886075949367,0.8753993610223643,158.0
1.0,0.9072847682119205,0.8838709677419355,0.8954248366013072,155.0
2.0,0.9119496855345912,0.9177215189873418,0.9148264984227129,158.0
3.0,0.9629629629629629,0.968944099378882,0.9659442724458205,161.0
4.0,0.9254658385093167,0.9371069182389937,0.93125,159.0
5.0,0.9192546583850931,0.9192546583850931,0.9192546583850931,161.0
6.0,0.9113924050632911,0.9056603773584906,0.9085173501577287,159.0
7.0,0.9423076923076923,0.9245283018867925,0.9333333333333333,159.0
8.0,0.8771929824561403,0.9259259259259259,0.9009009009009009,162.0
9.0,0.9746835443037974,0.9625,0.9685534591194969,160.0
accuracy,0.9214824120603015,0.9214824120603015,0.9214824120603015,0.9214824120603015
macro avg,0.9216365505476741,0.9212601375498393,0.9213404670388756,1592.0
weighted avg,0.9217009129265364,0.9214824120603015,0.9214830850561847,1592.0
