,precision,recall,f1-score,support
0.0,0.8924050632911392,0.8924050632911392,0.8924050632911392,158.0
1.0,0.9395973154362416,0.9032258064516129,0.9210526315789472,155.0
2.0,0.9411764705882353,0.9113924050632911,0.9260450160771704,158.0
3.0,0.9746835443037974,0.9565217391304348,0.9655172413793103,161.0
4.0,0.9161676646706587,0.9622641509433962,0.9386503067484663,159.0
5.0,0.9202453987730062,0.9316770186335404,0.9259259259259259,161.0
6.0,0.9102564102564102,0.8930817610062893,0.9015873015873016,159.0
7.0,0.9554140127388535,0.9433962264150944,0.949367088607595,159.0
8.0,0.8941176470588236,0.9382716049382716,0.9156626506024096,162.0
9.0,0.9751552795031055,0.98125,0.9781931464174455,160.0
accuracy,0.9315326633165829,0.9315326633165829,0.9315326633165829,0.9315326633165829
macro avg,0.9319218806620272,0.9313485775873069,0.9314406372215712,1592.0
weighted avg,0.9319165738466281,0.9315326633165829,0.9315301633225184,1592.0
