,precision,recall,f1-score,support
0.0,0.8787878787878788,0.7341772151898734,0.8,158.0
1.0,0.7361111111111112,0.6838709677419355,0.7090301003344482,155.0
2.0,0.8666666666666667,0.9050632911392406,0.8854489164086687,158.0
3.0,0.7604166666666666,0.906832298136646,0.8271954674220964,161.0
4.0,0.8741721854304636,0.8301886792452831,0.8516129032258065,159.0
5.0,0.8728813559322034,0.639751552795031,0.7383512544802867,161.0
6.0,0.9453125,0.7610062893081762,0.843205574912892,159.0
7.0,0.979381443298969,0.5974842767295597,0.7421874999999999,159.0
8.0,0.48089171974522293,0.9320987654320988,0.6344537815126051,162.0
9.0,0.9801324503311258,0.925,0.9517684887459807,160.0
accuracy,0.7920854271356784,0.7920854271356784,0.7920854271356784,0.7920854271356784
macro avg,0.837475397797031,0.7915473335717844,0.7983253987042784,1592.0
weighted avg,0.8370511225892868,0.7920854271356784,0.7982424861175532,1592.0
