,precision,recall,f1-score,support
0.0,0.7032258064516129,0.689873417721519,0.6964856230031949,158.0
1.0,0.6791044776119403,0.5870967741935483,0.629757785467128,155.0
2.0,0.75,0.7215189873417721,0.735483870967742,158.0
3.0,0.8203592814371258,0.8509316770186336,0.8353658536585366,161.0
4.0,0.7515527950310559,0.7610062893081762,0.7562500000000001,159.0
5.0,0.7730061349693251,0.782608695652174,0.7777777777777779,161.0
6.0,0.779874213836478,0.779874213836478,0.779874213836478,159.0
7.0,0.64375,0.6477987421383647,0.64576802507837,159.0
8.0,0.7142857142857143,0.8024691358024691,0.7558139534883721,162.0
9.0,0.9056603773584906,0.9,0.90282131661442,160.0
accuracy,0.753140703517588,0.753140703517588,0.753140703517588,0.753140703517588
macro avg,0.7520818800981742,0.7523177933013134,0.751539841989202,1592.0
weighted avg,0.7524345439649663,0.753140703517588,0.7521318458335075,1592.0
